nom,vi
貶東各校書吳焕充本府軍坐以朝事𭁈外人言也,biếm đông các hiệu thư ngô hoán sung bản phủ quân toạ dĩ triều sự dữ ngoại nhân ngôn dã
姅𫷜於坦遼陽吏茹,nửa năm ở đất liêu dương lại nhà
庚辰十一年廢帝仍太平行天福元年年號七月以後黎大宋太平興國五年,canh thin thap nhat nien phe dde nhung thai binh hanh thien phuc nguyen nien nien hieu that nguyet di hau le ddai tong thai binh hung quoc ngu nien
㐱𠲖塘詫分傷𤋵油,chỉn e đường sá phần thương dãi dầu
至寂然遂入天城所居見國峻在焉,chí tịch nhiên toại nhập thiên thành sở cư kiến quốc tuấn tại yên
𢆥󰅒󰑼󰜋女時𠄼𢆥,năm nay là một nữa thì năm năm
自此南北兩國復通,tự thử nam bắc lưỡng quốc phục thông
今方内無狗吠之警而使甲卒暴露,kim phương nội vô cẩu phệ chi cảnh nhi sử giáp tốt bạo lộ
差,sai
准 宮 别 𠇍 𨑮 賖,chốn cung biết mấy mươi xa
󰜋茹圍笠几𥪝𠊛外,một nhà vây lớp kẻ trong người ngoài
東邉訛言明使來會勘邉𪽐,đông biên ngoa ngôn minh sứ lai hội khám biên giới
閉徐買浽三彭媒蓮,bấy giờ mới nổi tam bành mụ lên
二月二十一日莫茂洽被雷降于宫中半身不遂後醫治復免乃改元以是年為延成初年,nhị nguyệt nhị thập nhất nhật mạc mậu hợp bị lôi giáng vu cung trung bán thân bất toại hậu y trị phục miễn nãi cải nguyên dĩ thị niên vi diên thành sơ niên
以范盃為東道行軍總管黎理為入内少尉參知西道諸衛君事,dĩ phạm bôi vi đông đạo hành quân tổng quản lê lí vi nhập nội thiếu uý tham tri tây đạo chư vệ quân sự
秋七月暴風大雨〇,thu thất nguyệt bạo phong đại vũ 
至於未踰年而改元則不容不議,chí ư vị du niên nhi cải nguyên tắc bất dung bất nghị
役尼󰑼役朝廷,việc này là việc triều đình
自是天下晏然無事矣,tự thị thiên hạ yến nhiên vô sự hĩ
冬十月册平章惠肅王第四女懿慈公主為儀聖皇后〇,đông thập nguyệt sách bình chương huệ túc vương đệ tứ nữ ý từ công chúa vi nghi thánh hoàng hậu 
汝諧為帝近臣帝言動悉知之,nhữ hài vi đế cận thần đế ngôn động tất tri chi
焠肝𪪳買告脾㪯公,sốt gan ông mới cáo tì cửa công
宦姐魄落魄漂,hoạn thư phách lạc hồn xiêu
明獨留耕而遣光庭還〇,minh độc lưu canh nhi khiến quang đình hoàn 
群暈𦝄泊群𠳒願初,còn vầng trăng bạc còn lời nguyền xưa
以阮如堵為吏部上書,dĩ nguyễn như đổ vi lại bộ thượng thư
又分遣黎察黎豪等進擊大破之斬首千餘級獲戰具甚多,hựu phân khiển lê sát lê hào đẳng tiến kích đại phá chi trảm thủ thiên dư cấp hoạch chiến cụ thậm đa
咹 勾 卒 𢼂 𢧚 𫯰 𡗋 夭,ăn câu tốt số nên chồng lắm yêu
料𠇮世𧘇沛欺世箕,liều mình thế ấy phải lừa thế kia
成此,thành thử
容軍奔潰自是竄伏山谷,dung quân bôn hội tự thị thoán phục sơn cốc
夏五月地裂星流〇,hạ ngũ nguyệt địa liệt tinh lưu 
爲蹺擛賊烏戈落塘,vì theo dẹp giặc ô qua lạc đường
好學䏻詩,hảo học năng thi
帝設󰣝没忙以毒箭射之死傷過半,đế thiết phục một mường dĩ độc tiễn xạ chi tử thương quá bán
賜南馬州道冕為本州大知州知軍民事爵明字,tứ nam mã châu đạo miện vi bản châu đại tri châu tri quân dân sự tước minh tự
𠄽勾渚𣴓𡃹勸,vài câu chưa cạn chén khuyên
官軍几吏㝵戈,quan quân kẻ lại người qua
停𢚸除妬𠃣𥹰,đành lòng chờ đó ít lâu
哉排洒焒尋𠊛劳�,tơi bời tưới lửa tìm người lao 
事𮗓官軍捕得克寬父子三人及徒黨二十四人于昇龍城南門外並拽得木印旗鉦噐械及,sự giác quan quân bổ đắc khắc khoan phụ tử tam nhân cập đồ đảng nhị thập tứ nhân vu thăng long thành nam môn ngoại tịnh duệ đắc mộc ấn kì chinh khí giới cập
塵 間 窒 堛 清 貧,trần gian dứt bậc thanh bần
十月天又滛雨經二旬不止各縣諸山乱崩,thập nguyệt thiên hựu dâm vũ kinh nhị tuần bất chỉ các huyện chư sơn loạn băng
唐之郭子儀陳之陳國峻有焉,đường chi quách tử nghi trần chi trần quốc tuấn hữu yên
忠彦年十六時號神童,trung ngạn niên thập lục thời hiệu thần đồng
𢯜蹎催拱赤绳冉𢭂,buộc chân thôi cũng xích thằng nhiệm trao
五月太僕寺少卿行尚寶寺少卿黎廷俊奏於五月六月當農務其常班役軍人聽留宿直并守門廊店草屋草象等役其省院局百作諸邑留半在役餘皆放回農務從之,ngũ nguyệt thái bộc tự thiếu khanh hành thượng bảo tự thiếu khanh lê đình tuấn tấu ư ngũ nguyệt lục nguyệt đương nông vụ kì thường ban dịch quân nhân thính lưu túc trực tịnh thủ môn lang điếm thảo ốc thảo tượng đẳng dịch kì sảnh viện cục bách tác chư ấp lưu bán tại dịch dư giai phóng hồi nông vụ tòng chi
漢蒼開蓮港自新平至順化界泥沙噴起用功不成〇,hán thương khai liên cảng tự tân bình chí thuận hoá giới nê sa phun khởi dụng công bất thành 
小禅圭扵北京,tiểu thiền quê ở bắc kinh
𠊛尼󰠱刼寃家,người này nặng kiếp oan gia
一監生儒生生徒每至朔望各具衣巾點目如法,nhất giám sinh nho sinh sinh đồ mỗi chí sóc vọng các cụ y cân điểm mục như pháp
𢬣 寛 台 吏 别 塘 斉 家,tay khoan thai lại biết đường tề gia
隊番󰞺󰖽勾詩,đòi phen nét vẽ câu thơ
時王侯多以手搏及獨行盗為勇,thời vương hầu đa dĩ thủ bác cập độc hành đạo vi dũng
之年嗣艱大之業國家多難社稷傾危加以占㓂擾其南宋師侵其北權臣攝政國内離心丁氏訖籙是保󰘊制治之無策也,chi niên tự gian đại chi nghiệp quốc gia đa nạn xã tắc khuynh nguy gia dĩ chiêm khấu nhiễu kì nam tống sư xâm kì bắc quyền thần nhiếp chính quốc nội li tâm đinh thị ngật lục thị bảo bang chế trị chi vô sách dã
俸󰠳固客边庭旦制,bỗng đâu có khách biên đình đến chơi
盛禮雍容昭度數至仁廣蕩焕恩榮,thịnh lễ ung dung chiêu độ số chí nhân quảng đãng hoán ân vinh
𣵲󰠃梗𦰟朱詳,gạn gùng ngành ngọn cho tường
媒強計日計寬,mụ càng kể nhặt kể khoan
十一月初,thập nhất nguyệt sơ
払浪呐拱𨔍𠁀,chàng rằng nói cũng lạ đời
命禮部尚書兼史官副總裁知昭文舘秀林局鄧鳴謙𢮪大越歷代史記鳴謙山圍圍自号脱軒先越鑑詠史詩集行于世,mệnh lễ bộ thượng thư kiêm sử quan phó tổng tài tri chiêu văn quán tú lâm cục đặng minh khiêm soạn đại việt lịch đại sử ký minh khiêm sơn vi vi tự hiệu thoát hiên tiên việt giám vịnh sử thi tập hành vu thế 
秋八月占城献白象,thu bát nguyệt chiêm thành hiến bạch tượng
對曰臣首未至地陛下無煩他慮,đối viết thần thủ vị chí địa bệ hạ vô phiền tha lự
国际,quốc tế
千 金 約 対 特 咍 庄,thiên kim ước đổi được hay chăng
察命待󰊄油湄㐌𡗉,xét mình dãi gió dầu mưa đã nhiều
臣等重在愛君盡職而已死亦何憂,thần đẳng trọng tại ái quân tận chức nhi dĩ tử diệc hà ưu
民爲立祠于小鴉海口以對趙越王祠,dân vi lập từ vu tiểu nha hải khẩu dĩ đối triệu việt vương từ
外𦋦埃吏惜之貝埃,ngoài ra ai lại tiếc gì với ai
甲子漢中平元年,giáp tí hán trung bình nguyên niên
𠳐𠳒𦋦𠓀展𦂛紊弹,vâng lời ra trước triển the vặn đàn
日将暮帝乃於林間伏兵象,nhật tương mộ đế nãi ư lâm gian phục binh tượng
斧斤包管身殘,phủ cân bao quản thân tàn
官之樂推視民如傷甚憫帬生之久困,quan chi lạc thôi thị dân như thương thậm mẫn quần sinh chi cửu khốn
𬂙𠓨𤴬𫆧呐𫥨𪿒𠳒,trông vào đau ruột nói ra ngại lời
文王,văn vương
鎬以文章名然性行非常居官好異,cảo dĩ văn chương danh nhiên tính hạnh phi thường cư quan hiếu dị
燒尽舟船餘眾奔北,thiêu tận chu thuyền dư chúng bôn bắc
于江中,vu giang trung
八月二十七日至九月三日大雨水漂民居舍禾榖渰浸〇,bát nguyệt nhị thập thất nhật chí cửu nguyệt tam nhật đại vũ thuỷ phiêu dân cư xá hoà cốc yêm tẩm 
交行,giao hàng
易𢲛󰟱𣷭坤量底滝,dễ dò rốn bể khôn lường đáy sông
興道家奴阮地爐射鍵殺之崱把鍵屍上馬宵遁馳數十里至丘温,hưng đạo gia nô nguyễn địa lô xạ kiện sát chi trắc bả kiện thi thượng mã tiêu độn trì số thập lí chí khâu ôn
唐諸道兵成邕𬋩者徃㱕自歸,đường chư đạo binh thành ung quản giả vãng vãng tự quy
冬十一月塟阜陵明遣牛諒張,đông thập nhất nguyệt táng phụ lăng minh khiến ngưu lượng trương
勑,sắc
𡗶 坦 生 𫥨 𥒥 𫇳,trời đất sinh ra đá chòm
詩餞之曰安南宰相不能詩空把茶甌送客㱕圓傘山青瀘水碧隨風直入五雲𢒎,thi tiễn chi viết an nam tể tướng bất năng thi không bá trà âu tống khách quy viên tản sơn thanh lô thuỷ bích tuỳ phong trực nhập ngũ vân phi
二十四日誅残賊逆黨名封名汝笏名安榮名忠名存名士文名崇禮名確等,nhị thập tứ nhật tru tàn tặc nghịch đảng danh phong danh nhữ hốt danh an vinh danh trung danh tồn danh sĩ văn danh sùng lễ danh xác đẳng
乃詔𭛁本處官廪假貸,nãi chiếu phát bản xứ quan lẫm giả thải
初黃晦卿受命治升華,sơ hoàng hối khanh thụ mệnh trị thăng hoa
󰝂命招𫴋𡨌𣳔長江,đem mình gieo xuống giữa dòng trường giang
𤞼 艮 咹 粓 巽,lợn cấn ăn cám tốn
咳 姉 姮 娥 媷 廣 寒,hỡi chị hằng nga náu quảng hàn
我國官吏復行朝覲禮仍進須知󰀋,ngã quốc quan lại phục hành triều cận lễ nhưng tiến tu tri sách
秋八月頒降新定諸例舊制官朝聖慈行遣司及内書火局並謂之内𡧸院,thu bát nguyệt phân giáng tân định chư lệ cựu chế quan triều thánh từ hành khiển ti cập nội thư hoả cục tịnh vị chi nội mật viện
哙辰些沛呐𠚢,hỏi thì ta phải nói ra
上皇餘行徧觀宫殿自辰至巳,thượng hoàng dư hành biển quan cung điện tự thìn chí tị
束𪪳拱倍󰖢払宁家,thúc ông cũng vội giục chàng ninh gia
時大八歲為李朝祗應局祗候正有從叔陳守度為殿前指揮使帝因得入侍宫中,thời đại bát tuế vi lí triều chi ứng cục chi hậu chính hữu tòng thúc trần thủ độ vi điện tiền chỉ huy sứ đế nhân đắc nhập thị cung trung
占,chiêm
明太子䀡基即位改元宣德是爲宣宗,minh thái tử chiêm cơ tức vị cải nguyên tuyên đức thị vi tuyên tông
令御史󰱑都御史阮荗奏一官軍則有衛司所等職管民則有府縣州等官,lệnh ngự sử đài đô ngự sử nguyễn mậu tấu nhất quan quân tắc hữu vệ ti sở đẳng chức quản dân tắc hữu phủ huyện châu đẳng quan
奔走前後者既乏其人謀謨帷幄者又寡,bôn tẩu tiền hậu giả ký phạp kì nhân mưu mô duy ốc giả hựu quả
辰 吀 一 阴 一 阳,thì xin nhất âm nhất dương
恩,ơn
前後爲所掠者,tiền hậu vi sở lược giả
秦發諸道逋亡人贅壻,tần phát chư đạo bô vong nhân chuế tế
𦋦 体 格 袩 情 沛 庒,ra thể cách xem tình phải chăng
他之學問如是見𧥾如是繩愆紏謬當如何哉仁宗當䘮不辨其非而曲從之亦非也,tha chi học vấn như thị kiến thức như thị thằng khiên đẩu mậu đương như hà tai nhân tông đương tang bất biện kì phi nhi khúc tòng chi diệc phi dã
欺 𫗒 欺 於 欺 欺,khi ăn khi ở khi khi
及至諒山,cập chí lạng sơn
魚浪󰥎分壻昆,ngư rằng làm phận rể con
其村廻李聖宗征占城虜獲占人居之以占語命名多加離後訛為婆伽或三四日後返又遊祥符寺與宋僧談語信宿乃回,kì thôn hồi lí thánh tông chinh chiêm thành lỗ hoạch chiêm nhân cư chi dĩ chiêm ngữ mệnh danh đa gia li hậu ngoa vi bà già hoặc tam tứ nhật hậu phản hựu du tường phù tự dữ tống tăng đàm ngữ tín túc nãi hồi
吕岱殺降邀功君子非之以是知吕氏之不延也信哉,lữ đại sát hàng yêu công quân tử phi chi dĩ thị tri lữ thị chi bất diên dã tín tai
夏四月命杜子平定補林平順化軍及繕完化州城〇,hạ tứ nguyệt mệnh đỗ tử bình định bổ lâm bìn thuận hoá quân cập thiện hoàn hoá châu thành 
爲國九經,vị quốc cửu kinh
心化治境内按堵尊崇𫢋教俗號觀音女曰彼一婦人乃䏻如是我男子何庸再攻克之,tâm hoá trị cảnh nội án đổ tôn sùng phật giáo tục hiệu quan âm nữ viết bỉ nhất phụ nhân nãi năng như thị ngã nam tử hà dung tái công khắc chi
腰 𣎀 庒 吏 腰 𣈜,yêu đêm chẳng lại yêu ngày
朝廷貞󰜋谷𡗶,triều đình riêng một góc trời
帝如㱕化江,đế như quy hoá giang
起明空大師第,khởi minh không đại sư đệ
物光复复社更生春其聖德文功輝煥天地太山磐石寧撫國家雖中興之詩中興之碑曷足以形容其萬一,vật quang phục phục xã cánh sinh xuân kì thánh đức văn công huy hoán thiên địa thái sơn bàn thạch ninh phủ quốc gia tuy trung hưng chi thi trung hưng chi bi hạt túc dĩ hình dung kì vạn nhất
以太保建陽伯黎景徽掌六科,dĩ thái bảo kiến dương bá lê cảnh huy chưởng lục khoa
昆它𢧚𡦂䘮蓬󰠃庒,con đà nên chữ tang bồng cùng chăng
以前太子侍講阮晋才為國子監博士,dĩ tiền thái tử thị giảng nguyễn tấn tài vi quốc tử giám bác sĩ
或賜𧶘則先與惠真而後及天真,hoặc tứ lãi tắc tiên dữ huệ chân nhi hậu cập thiên chân
阮伯麟督理題名碑事少保禮部尚書東閣大𭓇士兼國子監祭酒知經筵事󰦛書伯黎嵩撰記中書監舍人吳寧書知尚寶監各局阮惠篆冬十月十三日遣兵部右侍郎阮仲逵翰林院侍書許三省提刑監察御史阮貴雅如明歳貢封延郡公黎義昭為太傅雄國公加阮侶為户部尚書瓊巖候,nguyễn bá lân đốc lí đề danh bi sự thiếu bảo lễ bộ thượng thư đông các đại học sĩ kiêm quốc tử giám tế tửu tri kinh diên sự đôn thư bá lê tung soạn ký trung thư giám xá nhân ngô ninh thư tri thượng bảo giám các cục nguyễn huệ triện đông thập nguyệt thập tam nhật khiển binh bộ hữu thị lang nguyễn trọng quỳ hàn lâm viện thị thư hứa tam tỉnh đề hình giám sát ngự sử nguyễn quý nhã như minh tuế cống phong diên quận công lê nghĩa chiếu vi thái phó hùng quốc công gia nguyễn lữ vi hộ bộ thượng thư quỳnh nham hầu
或流而為他岐或倒戈而相攻莫能歸一其可,hoặc lưu nhi vi tha kì hoặc đảo qua nhi tương công mạc năng quy nhất kì khả
青鎌鞍馭𨖲塘𬆅𢫝,thanh gươm yên ngựa lên đường thẳng dong
𦎛娥永永苔蔥,gương nga vạnh vạnh đầy song
碩據州凶暴失眾心,thạc cứ châu hung bạo thất chúng tâm
彼龍鋌以弟弑,bỉ long đĩnh dĩ đệ thí 
塊𧯄𠬠淡㐌賖,khỏi hang một dặm đã xa
天下金税例十成色兼金四百四十九兩五分六釐四毫原例四百六十两代納公象二十两十成色金二千九百一两六錢九分五釐一絲原例二千八百六十三两,thiên hạ kim thuế lệ thập thành sắc kiêm kim tứ bách tứ thập cửu lượng ngũ phân lục li tứ hào nguyên lệ tứ bách lục thập lượng đại nạp công tượng nhị thập lượng thập thành sắc kim nhị thiên cửu bách nhất lượng lục tiền cửu phân ngũ li nhất ti nguyên lệ nhị thiên bát bách lục thập tam lượng
徐浪役𧘇低朱默娘,từ rằng việc ấy để cho mặc nàng
咏𠊚固俸𦝄清,vắng người có bóng trăng thanh
國康其長兄也後並封大王,quốc khang kì trưởng huynh dã hậu tịnh phong đại vương
故曰謹天戒盡人事回天变之道也,cố viết cẩn thiên giới tận nhân sự hồi thiên biến chi đạo dã
明立皇子榶为皇太子,minh lập hoàng tử đường vi hoàng thái tử
季犛遣使如明,quý li khiến sứ như minh
該承憲國子監官類奏施行如例,cai thừa hiến quốc tử giám quan loại tấu thi hành như lệ
克寬乃上表曰臣主黎氏是安南國王之胄憤逆臣莫氏僣奪不忍負千年之讐乃卧薪嘗膽思復祖宗之業以紹祖宗之迹,khắc khoan nãi thượng biểu viết thần chủ lê thị thị an nam quốc vương chi trụ phấn nghịch thần mạc thị tiếm đoạt bất nhẫn phụ thiên niên chi thù nãi ngoạ tân thường đảm tư phục tổ tông chi nghiệp dĩ thiệu tổ tông chi tích
有士子行制,hữu sĩ tử hành chế
莫兵望風奔北,mạc binh vọng phong bôn bắc
傷饒嗔𠯆吝饒,thương nhau xin nhớ lời nhau
交趾郡王,giao chỉ quận vương
且厲德侯簒時士連不為激揚風憲乎寵過隆矣仁壽不爲賛畫帷幄乎位任極矣今厲德侯為我失國尔不能以禄死反去事吾縱我不言尔心不愧死乎真賣國奸臣也,thả lệ đức hầu soán thời sĩ liên bất vi kích dương phong hiến hồ sủng quá long hĩ nhân thọ bất vi tán hoạch duy ốc hồ vị nhiệm cực hĩ kim lệ đức hầu vị ngã thất quốc nhĩ bất năng dĩ lộc tử phản khứ sự ngô túng ngã bất ngôn nhĩ tâm bất quý tử hồ chân mại quốc gian thần dã
𣴓𢚸生買𢪀溇,cạn lòng sinh mới nghĩ sâu
令,lệnh
小姐𥆾󰘚羕陀甘心,tiểu thư nhìn mặt dường đà can tâm
時節制鄭松兼統内外,thời tiết chế trịnh tùng kiêm thống nội ngoại
肝 義 𤋵 𫥨 共 姉 月,gan nghĩa giãi ra cùng chị nguyệt
置上林寺以黎季犛長子黎元澄判寺事,trí thượng lâm tự dĩ lê quý li trưởng tử lê nguyên trừng phán tự sự 
世降而下乱起紛紜迭有興󰲝不必言之,thế hàng nhi hạ loạn khởi phân vân điệt hữu hưng phế bất tất ngôn chi
終𦝄𨷑󰜋𡾵行,chung lưng mở một ngôi hàng
宋以南海泰守沈渙爲刺史以叔獻爲寧遠軍司馬武平新昌二部太守,tống dĩ nam hải thái thú thẩm hoán vi thứ sử dĩ thúc hiến vi ninh viễn quân tư mã vũ bình tân xương nhị bộ thái thú
季犛責辱晦卿以所還數多凡彼所置土官𡧸令土人以毒鴆之〇,quý li trách nhục hối khanh dĩ sở hoàn số đa phàm bỉ sở trí thổ quan mật lệnh thổ nhân dĩ độc chậm chi 
王噐禮寬厚謙虚下士國人愛之皆呼曰王,vương khí lễ khoan hậu khiêm hư hạ sĩ quốc nhân ái chi giai hô viết vương
禮畢帝詣勤政殿行相見禮仍命百官送儲等出使舘,lễ tất đế nghệ cần chính điện hành tương kiến lễ nhưng mệnh bách quan tống trừ đẳng xuất sứ quán
𡢐 朱 奇 伴 𡊨 𦹳 淶,sao cho cả bọn đàn thơm lây
𮗓辭󰆕詔匡越制曲以餞其辭曰祥光風好錦帆張遙望神僊復帝鄕,giác từ quy chiếu khuông việt chế khúc dĩ tiễn kì từ viết tường quang phong hảo cẩm phàm trương dao vọng thần tiên phục đế hương
𥙩𢚸噲𡭧𦋦低謝𢚸,lấy lòng gọi chút ra đây tạ lòng
工部右侍郎鄭公旦罸錢三十貫以暴露公用林木故也,công bộ hữu thị lang trịnh công đán phạt tiền tam thập quán dĩ bạo lộ công dụng lâm mộc cố dã
敕封郡主顕荣朱娘,sắc phong quận chúa hiển vinh cho nàng
今撫綏百姓保障一方當奉法憂民懲忿窒欲,kim phủ tuy bách tính bảo chướng nhất phương đương phụng pháp ưu dân trừng phẫn thất dục
至開讀亦無舉哀禮宴樂如常,chí khai độc diệc vô cử ai lễ yến nhạc như thường
朝退俱坐於議事堂崇武門外,triều thoái cụ toạ ư nghị sự đường sùng vũ môn ngoại
𬮎𦋦幅像撩𨖲,mở ra bức tượng treo lên
曲中主克承先業綽有祖風運籌决勝出人意表𭁈北朝諸國而抗衡為我𧻗之令主定府籍𬋩甲之職制度稍立中道崩殂,khúc trung chủ khắc thừa tiên nghiệp xước hữu tổ phong vận trù quyết thắng xuất nhân ý biểu dữ bắc triều chư quốc nhi kháng hành vi ngã việt chi lệnh chủ định phủ tịch quản giáp chi chức chế độ sảo lập trung đạo băng tồ
太王妃阮氏玉寶被火卒節制鄭松避,thái vương phi nguyễn thị ngọc bảo bị hoả tốt tiết chế trịnh tùng tị
土人多降,thổ nhân đa hàng
𠊛 𭓇 習 朱 專,người học tập cho chuyên
復兵猝起斬千户姓蒋者及軍士三百餘人,phục binh thốt khởi trảm thiên hộ tính tưởng giả cập quân sĩ tam bách dư nhân
國號大南寇宋境破横山寨陷邕横貴藤梧康端龔潯等州遂至廣州城傳城攻之五旬不下乃還,quốc hiệu đại nam khấu tống cảnh phá hoành sơn trại hãm ung hoành quý đằng ngô khang đoan cung tầm đẳng châu toại chí quảng châu thành truyền thành công chi ngũ tuần bất hạ nãi hoàn
小姐倍𠯦昆花,tiểu thư vội thét con hoa
䏾朝㐌我𨤮槐群賒,bóng chiều đã ngả dặm hoè còn xa
至是遣子入朝求為内附,chí thị khiển tử nhập triều cầu vi nội phụ
文章󰞺坦聰明性𡗶,văn chương nết đất thông minh tính trời
判首知左右班事内人阮喟知殿内陳寗知樞𡧸院事,phán thủ tri tả hữu ban sự nội nhân nguyễn vị tri điện nội trần ninh tri khu mật viện sự
有󰟸法駕出遊,hữu khoảnh pháp giá xuất du
遣使如明,khiển sứ như minh
憲宗存心圖治而享國不永,hiến tông tồn tâm đồ trị nhi hưởng quốc bất vĩnh
審嚴謹槓高墙,thẳm nghiêm kín cống cao tường
冬十月禾榖大熟,đông thập nguyệt hoà cốc đại thục
王頓首曰天子爲寡人興兵誅閩越雖死無以報德,vương đồn thủ viết thiên tử vị quả nhân hưng binh tru mân việt tuy tử vô dĩ báo đức
若官員百姓嘱書文契猶用方紙許本族人族長投告驗實以虚論賣者失其己分買者失其原錢嘱書文契並不用,nhược quan viên bách tính chúc thư văn khế do dụng phương chỉ hứa bản tộc nhân tộc trưởng đầu cáo nghiệm thực dĩ hư luận mại giả thất kì kỷ phần mãi giả thất kì nguyên tiền chúc thư văn khế tịnh bất dụng
六月十六日定三舍生除用令,lục nguyệt thập lục nhật định tam xá sinh trừ dụng lệnh
以示為人父者不可溺愛而陷敗家支祸為人子者不可昧󰒂而長傷化之風,dĩ thị vi nhân phụ giả bất khả nịch ái nhi hãm bại gia chi hoạ vi nhân tử giả bất khả muội nghĩa nhi trưởng thương hoá chi phong
𠬠𠳒㐌別旦些,một lời đã biết đến ta
拱差令節󰝂信逴𠶆,cũng sai lệnh tiễn đem tin rước mời
又耕蟠海山得銀一小甕因名之曰金銀田,hựu canh bàn hải sơn đắc ngân nhất tiểu úng nhân danh chi viết kim ngân điền
玉󱗲棄船陸走于三島山下将卒各自棄船登岸,ngọc liễn khí thuyền lục tẩu vu tam đảo sơn hạ tướng tốt các tự khí thuyền đăng ngạn
初置五府六部,sơ trí ngũ phủ lục bộ
丕 䀡 錢 𧵑 𪽣 如 空,vậy xem tiền của ruộng như không
少帝在位二年紀元者一,thiếu đế tại vị nhị niên k
󰠱泥𠄩𡦂鴛鴦,nặng nề hai chữ uyên ương
暈東𬂙㐌𥪸𣦍𣟪茹,vầng đông trông đã đứng ngay nóc nhà
及智髙乞師又𠃔其請,cập trí cao khất sư hựu doãn kì thỉnh
是歳三月大旱至六月,thị tuế tam nguyệt đại hạn chí lục nguyệt
爲花朱沛杜塘尋花,vì hoa cho phải dò đường tìm hoa
桃 疎 柳 要 待 𥉫 英 䧺,đào to liễu yếu đợi trông anh hùng
九月蝗,cửu nguyệt hoàng 
刼尼緣㐌負緣,kiếp này duyên đã phụ duyên
澄杜在營中,trừng đỗ tại doanh trung
庚申三年莫光寶七年明嘉靖三十九年正月太師鄭檢差諸将領兵攻破洪州快州先興等府所至克捷〇,canh thân tam niên mạc quang bảo thất niên minh gia tĩnh tam thập cửu niên chính nguyệt thái sư trịnh kiểm sai chư tướng lĩnh binh công phá hồng châu khoái châu tiên hưng đẳng phủ sở chí khắc tiệp 
詔杜英武如富良府考校官僚及定户籍數目,chiếu đỗ anh vũ như phú lương phủ khảo hiệu quan liêu cập định hộ tịch số mục
散霜別午盎𩄲𡨌𡗶,tan sương biết ngõ áng mây giữa trời
是時太師興國公阮金猶在哀牢未從行,thị thời thái sư hưng quốc công nguyễn kim do tại ai lao vị tòng hành
英宗次妃號靜惠者殿帥范五老女也出家之後英宗崩回本鄕,anh tông thứ phi hiệu tĩnh huệ giả điện soái phạm ngũ lão nữ dã xuất gia chi hậu anh tông băng hồi bản hương
王含弘大德更容納優待,vương hàm hoằng đại đức cánh dung nạp ưu đãi
壬午漢蒼紹成二年明建文四年春二月漢蒼閲定軍伍〇,nhâm ngọ hán thương thiệu thành nhị niên minh kiến văn tứ niên xuân nhị nguyệt hán thương duyệt định quân ngũ 
船情皮󰠼旦尼,thuyền tình vừa ghé đến nơi
群之󰑼丐紅顔,còn chi là cái hồng nhan
敢有故違許前塟子孫親屬告所在官司斥後塟移避并追謝錢如律上從之,cảm hữu cố vi hứa tiền táng tử tôn thân thuộc cáo sở tại quan ti xích hậu táng di tị tịnh truy tạ tiền như luật thượng tòng chi
惜朱󰠲俸落類旦低,tiếc cho đâu bỗng lạc loài đến đây
明詔勅凡朝廷所差,minh chiếu sắc phàm triều đình sở sai
勑旨天下修治堤防及道路等處置勸農河堤等官,sắc chỉ thiên hạ tu trị đê phòng cập đạo lộ đẳng xứ trí khuyến nông hà đê đẳng quan
閉楼渧𣷭摸針,bấy lâu đáy bể mò kim
上可其奏命冬官起工鑿石,thượng khả kì tấu mệnh đông quan khởi công tạc thạch
𡏧紅料裊𠫾𧗱占包,bụi hồng liệu nẻo đi về chiêm bao
輔陳以舟板翼之得免,phụ trần dĩ chu phản dực chi đắc miễn
二胡?避深江不果,nhị hồ dục tị thâm giang bất quả
帝命美惠侯鄭惟㦃提領官軍往擊陳珣,đế mệnh mĩ huệ hầu trịnh duy sản đề lĩnh quan quân vãng kích trần tuân
以三條戒文武官一勿無情二勿欺慢三勿姦貪,dĩ tam điều giới văn vũ quan nhất vật vô tình nhị vật khi mạn tam vật gian tham
大越史記本紀全書卷之三,đại việt sử ký bản kỷ toàn thư quyển chi tam
𡄎𥪝𢼂係科塲群賖,ngẫm trong số hệ khoa trường còn xa
共饒吏祝󱋓瓊交歡,cùng nhau lại chuốc chén quỳnh giao hoan
信 𧗱 士 幸 𧗱 焒,tin về sẽ hạnh về lửa
量𨕭决𫽄傷情,lượng trên quyết chẳng thương tình
今年正月擒得偽䧺禮公僣稱,kim niên chính nguyệt cầm đắc nguỵ hùng lễ công tiếm xưng
呐耒乖果󰑾𠫾,nói rồi quày quả ra đi
脚賊自倒戈相攻死者甚󰕛餘黨羅拜呼天將即皆來降,cước tặc tự đảo qua tương công tử giả thậm chúng dư đảng la bái hô thiên tướng tức giai lai hàng
其四辨舍吏之廉平貪冗以爲賞罰,kì tứ biện xá lại chi liêm bình tham nhũng dĩ vi thưởng phạt
烏戈渃意兵戎曳乱,ôqua nước ấy binh nhung dấy loàn
王姓趙諱光復趙肅之子朱鳶縣人威壮勇烈從南帝征伐有功拜左將軍,vương tính triệu huý quang phục triệu túc chi tử chu diên huyện nhân uy tráng dũng liệt tòng nam đế chinh phạt hữu công bái tả tướng quân
翁 𡚢 頭 㐌 𫥨 帝,ông to đầu đã ra đấy
帝𥘉即位上皇製帝箴一百五十言賜之〇,đế sơ tức vị thượng hoàng chế đế châm nhất bách ngũ thập ngôn tứ chi 
