nom,vi
制 㐌 固 氣 象 几 奇,ơ đã ó í ướ ẻ ả
底 蚤 𠫾 針 焒 𤐝 朱 䀡 翁 𡚢 頭,để  đ â ử    ô  đầ
翁 秀 沛 丐 𡀀 截 秩,ô ú ả á ấ ệ ặ
旦 𡢐 官 司 天 䀡 天 文,đế   ư ê  ê ă
𧡊 𧗱 地 分 省 清 固 𠬠 𡾵 𬁖 𠓇,ấ ề đị ậ ỉ à ó ộ ô  á
聀 浪 省 意 固 𠊛 才,ắ ằ ỉ ấ ó ườ à
仍 空 别 於 𧗱 廊 芇,ư ô ế ở ề à à
𠓨 奏 𤤰,à â 
𤤰 交 廷 臣 𪹾,  đì ầ é
固 𠬠 員 奏 浪,ó ộ ê â ằ
吀 交 朱 省 臣 清 化 飭 朱 𤁘 轄 每 廊 沛 進 𠬠 昆 羝 特 𦍺,   ỉ ầ  á ứ   ạ ỗ à ả ế ộ  ê đự ử
限 𠬠 𣎃 空 特 辰 治 罪,ạ ộ á ô đượ ì ị ộ
丸 飭 𧗱 各 廊,à ứ ề á à
計 辝 包 𧘇 女 算 准,ể ừ  ấ ỡ  ố
𠲝 時 𢧚 几 爫 高,ố ờ ê ẻ à 
𠵌 時 𠰘 卋 噋 嗃 坤 寒, ờ ệ ế ô  ô à
𠳐 𠳒 𨍦 仕 𡬶 郎,â ờ  ẽ ì 
悲 𣉹 嗔 強 𨖲 塘 深,â ờ  ẵ ê đườ ă
裊 麻 於 丕 爫 清,ế à ở ậ à 
𢀭 𢀨 渚 体 𢫞 㐌 例,à  ư ấ  đã ề
憲 官 浪 渚 世 時,ế  ằ ớ ế ì
仃 𠰷 生 唉 劄 𥱬 𠇍 𠳒,đừ   ã é  ấ ờ
底 義 沛 扒 𠊛,để ĩ ả ắ ườ
吟 珪 皮 意 昔 為 迻 信,â ê ừ ý ế ờ đư 
𠵌 𠳒 生 筆 研, ờ  ú ê
幅 雲 箋 𠳚 𧗱,ứ â ê ử ề
小 童 𠳐 𠰺 𦋦 𠫾,ể đồ â ậ  đ
各 耆 𢜝,á ì ợ
𦓡 翁 親 生 𫥨 瓊 吏 強 𢜝 欣,à ô â   ỳ ạ à ợ ơ
𠇮 兄 次 𥪝 廊,ì ỳ ư  à
求 塊 富 溪,ầ ỏ ú ê
典 場 文,đế ườ ă
𨔍 𨓡 群 秦 麻 𬂙,ạ ù ò ầ à ô
必 沛 干 咎,ấ ả  ữ
𧗱 茹 盘 𮥷 吧 怨 恨 茹 𤤰 𠾕 仍 事 苦 巾,ề à à à à á ậ à  đồ ữ ự ó ă
瓊 𧡊 布 劍 𦳦 買 𠳨,ỳ ấ ố é ươ ớ ỏ
𣋚 𫢩 柴 固 役 之 𦓡 𢗼 煩,ô  ầ ó ệ ì à  ề
翁 布 當 愊 𠇮,ô ố đ ự ì
𠻵 浪,ắ ằ
役 廊 役 渃,ệ à ệ ướ
𪨅 𡥵 别 𦓡 𠳨,ẻ  ế à ỏ
瓊 𧡊 布 空 呐 一 定 𠳨 朱 𫥨,ỳ ấ ố ô ó ấ đị ỏ  
翁 布 沛 計 寔 朱 𦖑,ô ố ả ể ậ  
瓊 理 喽 浪,ỳ í á ằ
想 役 之,ưở ệ ì
渚 役 意 干 之 布 沛,ớ ệ ấ ầ ì ố ả
茹 𤤰 扒 納 𠬠 𡥵 渚 扒 納 𨑮 𡥵 拱 固,à  ắ ộ ộ  ớ ắ ộ ườ  ũ ó
敢 客 於 𨕭 𠁀,á á ở ê đờ
咹 制 朱 沛 别 𠳒 𠓀 𡢐,ă ơ  ả ế ờ ướ 
停 庫 渚 𢚁 𢀭,đừ ó ớ ậ à
古 初 𠳒 𠸠 𧗱 初,ổ ơ ờ í ề ơ
埃 𢀭 𠄩 户 包 徐, ầ  ọ  ờ
空 埃 庫 典 𠀧 𠁀 麻,ô  ó đế  đờ à
箕 如 丐 埃 扜,ì ư á  
梗 埃 别 朱 世,à  ế  ế
𡶀 箕 埃 㙮 麻 高,ú   đắ à 
滝 箕 𣷭 意 埃 陶 麻 溇,ô  ể ấ  đà à â
渃 朝 埃 薩 埃 洃,ướ ề  á  
干 𨖲 辰 世 干 耒 如 空,à ê ờ ế à ồ ư ô
𥪝 棱 核 意 埃 槞, ừ â ấ  ồ
𩈘 𡗶 埃 𥙩 爫 金 烏,ặ ờ  ấ à  ô
𡄎 䀡 造 化 机 圖,ẫ  ạ á ơ đồ
算 拱 丕 敖 𨒣 妥 𠁀, ũ ậ   ả đờ
戈 亊 在 𡗶, ự ạ ờ
人 生 埃 拱 刼 𠊛 麻 催,â   ũ ế ườ à ô
吏 䀡 傳 䀡 制,ạ  ệ  ơ
㗂 項 羽 英 才 埃 當,ế ạ ũ  à  đươ
力 能 鼎 拔 山,ự ă đỉ ạ ơ
身 長 八 尺 皇 㐌 驚,â à á í à đã 
䀡 西 代 東 征, â đạ đô 
百 戰 百 勝 㐌 𩑭 𫡦 𡗶,á ế á ắ đã  í ờ
埃 台 垓 不 变 移,  â ấ ế ờ
王 一 勝 𨖲 治 位,ươ ấ ắ ê ị ì
従 容 固 逹 欺,  ó đạ 
計 制 各 𨁯 麻 推 亊 𡗶,ể ơ á í à  ự ờ
於 𠁀 几 𠁀,ở đờ ẻ đờ
争 坤 争 窖 埃 埋 特 𡗉, ô  é   đượ ề
𠊛 咹 於 别 調,ườ ă ở ế đề
塊 㳥 吶 料 滇 滇,ỏ ó ó ề  
窖 台 逹 垥 人 間,é  đạ đắ â 
傳 𥪝 呐 𠬠 外 盘 𦋦 𠀧,ệ  ó ộ à à  
催 催 内 𠃣 拱,ô ô ó í ũ
吱 𠸦 塊 㗂 𦝄 麻,ê  ỏ ế ă à
悲 徐 計 跡 𧊉,â ờ ể í ướ
埃 䀡 旦 傳 計 𦋦 買 詳,  đế ệ ể  ớ ườ
逹 排 亊 𧊉 𤉜,đạ à ự ướ à
形 殊 時 间 㗂 𢀨 埃,ì ù ờ  ế  
𡗶 泣 各 式 核,ờ ắ á ứ â
童 達 童,đồ đạ đồ
朋 埃 𣦍 实 麻 𢚸 許 香,ằ   ự à ò ở 
𨍦 𬂙 体 𩈘 払, ô ấ ặ à
𦋦 朝 恪 𧘇 如 羕 𢜝 些, ề á ý ư ườ ợ 
踈 浪 沛 達 時 𦋦,ư ằ ả đạ ờ 
信 𢜠 尼 固 阮 生, ừ à ó ễ 
倍 傍 達 買 接 迎,ộ à đạ ớ ế ê
噲 童 朱 别 意 情 爫 牢,ỏ đồ  ế ý ì à 
小 童 計 歇 湿 高,ể đồ ể ế ấ 
𠄼 丐 𠄼 吝 𠄼 𤾓 𠄼 𨑮 𠄼 𢆥,ă á ă ầ ă ă ă ươ ă ă
𠄼 𡥵 隻 𠄼 𣈜 咍 𠄼 𠄼 𣈗,ă  ế ă à  ă ă à
𠄼 𠊛 𠄼 𠊚 數 𠄼 数 𠄼 𢼂 𠄼,ă ườ ă ườ ố ă ố ă ố ă
𢆥 外 𢆥 𫢩 𢆥 𠉞 𠇍 𢆥 𢆥 耒,ă á ă  ă  ấ ă ă ồ
𢆥 𡢐 𢆥 𡢐 𢆥 𠓀 𢆥 𫏾,ă  ă  ă ướ ă ướ
𠀧 丐 𠀧 吝 𠀧 𢆥 次 𠀧 𠀧 𡥵, á  ầ  ă ứ   
爸 呐 爸 吶 爸 媽 爸 𧵑 𧵑 爸 爸 奴 爸 𠋥 爸 碎 爸 𠋺, ó  ó  á  ủ ủ   ó  à  ô  
朱 買 吏 迻 𢭂 詞, ấ ạ đư  ờ
達 卜 袩 礼 詞,đạ ó  ẽ ừ
𦋦 袩 体 詩 詞 𦊚 句,  ấ ơ ừ ố â
固 詩 浪,ó ơ ằ
𠳒 自 謝 𠳚 呈 英,ờ ừ ạ ử ì 
过 𢚷 朱 𢧚 几 情,á ậ  ê ẻ ì
油 忍 酌 朱 嗔 免 責,ù  ướ   ễ á
矯 吱 浪 保 浪 𢫞,ẻ ê ằ ả ằ 
達 連 袩 体 詩 生,đạ ề  ấ ơ 
扲 蓮 達 爫 清 唭,ầ ê đặ à  ườ
吱 亟 别 𠳒,ê ẳ ế ờ
渃 𤄯 創 𤄯,ướ  á 
於 𥪝 於 𥪞 於 中,ở  ở  ở 
𣎃 𠄼 𪱚 𠄼 𣈜 𣎃 𢆥 𣈜 𪱚 𢆥 𣈜 𪱚 𢆥 𣈗 𪱚 𢆥 𣎃 𠄼 𢆥 𫢩 𣎃 𠄼 𢆥 外 𢆥 耒,á ă á ă à á ă à á ă à á ă à á ă á ă ă  á ă ă á ă ồ
次 𠄼 𠄼 𨑮 𠄼 同,ứ ă ă ươ ă đồ
吱 浪 生 拱 𠊛 𢜗 筭,ê ằ  ũ ườ ụ 
油 沛 准 机 䦕,ù ả ố ơ 
别 塘 兵 法 𫽄 塘 包 容,ế đườ  á ẳ đườ  
時 仃 群 於 工,ờ đừ ò ở ô
𠇮 渚 别 女 𢚸 爫 牢,ì ư ế ữ ò à 
𧗱 浪 群 𡮇 志 高,ề ằ ò ú í 
侯 羕 𧘇 敢 𠓨,ầ ườ ấ á à
𠳒 些 吏 𠳚 𧗱,ờ  ạ ử ề
浪 科 試 拱 㐌 掑 𨍦 𨉞,ằ   ũ đã ề  ư
辞 童 吏 移 真,ừ đồ ạ ờ â
丿 戈 縣 勇 㐌 𧵆 营,ú  ệ ũ đã ầ 
𨀈 𠓨 𨍦 𫏾 踈 生,ướ à  ướ ư 
𠳒 達 恨 群 停 渚 涓,ờ đạ ậ ò à ứ ê
払 生 自 𧘇 𠵌 信,à  ự ấ  
時 停 心 事 強 專 學 行,ờ đà â ự à ê ọ à
𣌋 於 帝 𢭗 𠇮,ớ ở đấ ươ ì
國 忠 陳 氏 阮 氏 阮 誠 陳 誠 黎 誠 笵 誠 黃 黃 潘 武 武,ố  ầ ị ễ ị ễ à ầ à ê à ạ à ỳ à  ũ õ
吀 柴 拠 𫥨 保 廊 重 朱 𤾓 貫, ầ ứ  ả à ọ  ă 
底 𡥵 𠫾 摸 𠮩 空 特 辰 𠇮 𡥵 𠺥 罪 朱 奇 廊,để  đ ò ế ô đượ ì ì  ị ộ  ả à
翁 布 𧡊 昆 呐 𦓡 活 𡗋,ô ố ấ  ó à ạ ắ
𢪀 䏾 浪,ĩ ụ ằ
些 此 𦖑 𪨅 𡥵 䀡 牢, ử  ẻ   
買 打 料 𫥨 認 䀡 廊,ớ đá ề  ậ  à
爫 詞 甘 結,à ờ  ế
𨑻 𧗱 保 𡥵 𠫾,đ ề ả  đ
瓊 認 保 布 枚 𫥨 京 都 𣌋 底,ỳ ậ ả ố    đô ớ để
𣌋 𣈕 巾 𢶒 粓 捻 𠄩 布 𡥵 搏 𫥨 河 內,ớ  ă ó ơ ắ  ố  á  à ộ
𢱖 羝, ê
旦 尼 瓊 呐 買 布 𠫾 𢵋 羅 𠳨 䀡 𣋚 芾 𤤰 御 制 鋪,đế ơ ỳ ó ớ ố đ đô à ỏ  ô à  ự ế ố
𠳨 特 耒,ỏ đượ ồ
旦 𣋚 𤤰 御,đế ô  ự
瓊 𠖰 寔 𣌋,ỳ ậ ậ ớ
吝 𡎴 東 𦣰 直,ẩ ổ đô ằ ự
待 旦 午 𦖑 㗂 呼 喝,đợ đế ọ  ế ò é
車 馭 官 軍 𠫾 赤 𨕭 𡎴, ự  â đ  ê ổ
瓊 連 哭 呱 𨖲,ỳ ề ó à ê
𣃣 𣅶 車 驾 𤤰 𠫾 旦,ừ ú  á  đ đế
𦖑 㗂 𪨅 哭 𦓡 空 𧡊 𠊛, ế ẻ ó à ô ấ ườ
差 𪜯 尋 辰 扒 瓊 於 𡎴 𨖲, í ì ì ắ ỳ ở ổ ê
𤤰 𠳨 爫 牢 眉 𡎴, ỏ à  à ổ
瓊 假 格 空 别 𤤰,ỳ ả á ô ế 
呐 浪,ó ằ
疎 翁 碎 𧡊 冬 車 馭 𢜝 𣩂 撤,ư ô ô ấ đô  ự ợ ế ệ
朱 𢧚 碎 𨁎 𡎴, ê ô à ổ
𤤰 𠳨 爫 牢 眉 哭, ỏ à  à ó
疎 翁 媄 碎 𣩂 㐌 𠀧 𢆥 𫢩,ư ô ẹ ô ế đã  ă 
牢 買 空 𧡊 布 碎 𤯰 底 𥙩 㛪 揞, ã ô ấ ố ô đẻ để ấ  ẵ
𢧚 碎 哭,ê ô ó
𤤰 保 𡭬 尼, ả é à
弹 翁 芇 吏 𤯰,đà ô à ạ đẻ
瓊 呐,ỳ ó
疎 翁 買 耒 碎 𧡊 𤤰 飭 𥙩 羝 特 𦍺,ư ô ớ ồ ô ấ  ứ ấ ê đự ử
碎 想 羝 特 𦍺 辰 布 碎 拱 𤯰 特,ô ưở ê đự ử ì ố ô ũ đẻ đượ
𤤰 吧 各 官 弼 唭,  á  ặ ườ
别 𣦍 浪 侈 𡥵 𪨅 尼 必 𠊛 才 應 𠓨 𡾵 𬁖 意,ế  ằ đứ  ẻ à ấ ườ à ứ à ô  ấ
連 賞 朱 吧 判 浪,ê ưở  à á ằ
赦 朱 民 廊 空 沛 納 羝 女,  â à ô ả ộ ê ữ
綡 特 享 空 𤾓 貫,ươ đượ ưở ô ă 
麻 浽 㗂 狀 自 芇,à ổ ế ạ ừ à
𣅶 翁 瓊 学 路,ú ô ỳ ọ ộ
茹 𧹅 沛 旦 殿 崇 吀 𦓿 𢩵,à è ả đế đề ồ  ấ ẽ
瓊 懇 吧 吀 阴 阳 䀡 主 順 𥙩 㭲 咍 𥙩 䓂,ỳ ấ à  â ươ  ú ậ ấ ó  ấ ọ
吝 頭 主 順 𥙩 䓂,ầ đầ ú ậ ấ ọ
辰 種 仍 𧃷 矩,ì ồ ữ  ủ
旦 𣅶 特 咹 瓊 𥙩 㭲 群 䓂 吧 𦀊 納 主,đế ú đượ ă ỳ ấ ố ò ọ à ơ ộ ú
吝 次 𠄩 吏 吀 阴 阳 主 順 𥙩 㭲 底 䓂 朱 瓊,ầ ứ  ạ  â ươ ú ậ ấ ố để ọ  ỳ
辰 瓊 穭 旦 割,ì ỳ ú đế ặ
花 𧊉 帝 聘 排 奴 堆, ướ đấ á à  đô
庒 𠲖 阁 鳯 楼 𦥄,ẳ  á ượ â đà
体 花 時 旦 埃 才 禁 垠,ấ  ì đế  à ấ ă
𧊉 浪 𢆥 𣎃 春,ướ ằ ă á â
咹 制 朱 妥 買 㝹,ă ơ  ả ấ 
吏 低 𠳨 客 桃,ạ đâ ỏ á đà
群 空 台 㐌 尼 芇 称 斤,ò ô  đã ơ à ứ â
他 鄕 及 客 故 人, ươ ặ á ố â
暫 𢚸 𪨀 𢪀 眞 世 芇,ạ ò ú ĩ â ế à
闭 𫢩 永 仍 渴 嗃,ấ  ắ ữ á 
悲 徐 情 𢪀 爫 牢 咳 情,â ờ ì ĩ à  ỡ ì
計 之 𨖲 托 𫴋 京,ể  ê á ố ề
産 低 深 别 冲 𣛟 芇,ả đâ ă ế   à
花 浪 計 准 清 台, ằ ể ố  ơ
𢝙 平 会 蓬 萊 㗂, ằ ộ ồ  ế
一 冲 渃 上 源,ấ  ướ ượ ê
群 固 㗂 𥒥 強 之 之,ò ó ế đá à  
𠲢 𠹚 唐 笘 边 坡,đá  đườ ó ê ờ
桃 群 待 柳 包 徐 朱 衝,đà ò đợ ễ  ờ  
疎 𦋦 𠀲 𨔍 𨓡,ư  đứ ạ ù
疎 𦋦 芇 别 浪 𢚸 固 𦖑,ư  à ế ằ ò ó 
於 低 仍 𡶀 拱 溪,ở đâ ữ ú ù 
眞 参 䏾 𥒥 㗂 蟡 哙 愁,â  ụ đá ế  ọ ầ
𠊚 如 阁 鳯 竜 楼,ườ ư á ượ  â
少 之 卿 相 公 侯 每 尼,ế ì  ướ ô ầ ộ ơ
𠊚 如 𩄲 𡧲 𡗶,ườ ư â ữ ờ
碎 如 𤌋 敢 制 度 芇,ô ư ó á ơ đọ à
𧊉 浪 唉 客 𦟐 桃,ướ ằ ỡ á á đà
尼 弄 底 搭 𠓨 朱 埃,à à để đắ à  
催 推 低 㐌 别 耒,ô ô đâ đã ế ồ
包 徐 少 仉 𨕭 𠁀 才 花, ờ ế ẻ ê đờ à 
埃 喂 買 油 麻, ơ ấ  à
強 攄 𡗋 強 𫅷 失 緣,à  ắ à à ấ ê
𨕭 𡽫 徐 式 修 仙,ê  ừ ứ  ê
玄 光 修 𫢋 於 边 厨,ê   ậ ở ê ù
中 間 群 景 眞,  ò ả â
蹺 隊 女 𡗋 工 夫 埃 𡊰, đò ữ ắ ô   đề
平 志 立 辰 𢧚,ì í ậ ờ ê
修 縁 秦 晋 安 草 花, ê ầ ấ ê ả 
花 浪 𣈙 呐 戈, ằ ầ ó 
拱 曾 㐌 别 𧵆 賖 每 塘,ũ ừ đã ế ầ  ọ đườ
𠬠 縁 𤊰 焒 香,ộ ê é ử ươ
朱 停 買 几 雪 霜 别 共, đà ấ ẻ ế ươ ế ù
仍 恩 怨 庒 衝,ữ â á ẳ 
妥 𢞂 埃 别 朱 𢚸 尼 諸,ả ồ  ế  ò à ư
魂 梅 迷 水 失,ồ  ê ỷ ấ
催 信 螉 𧊉 吏 書 晋 秦,ô   ướ ạ ư ấ ầ
強 𠹚 強 𠬠 吝 巾,à  à ộ ầ â
𨑮 分 牢 𠬠 分 扒 朱,ườ ầ  ộ ầ ớ 
呐 𦋦 𤏣 吏 𢢆 殊,ó  ỏ ạ ẹ ò
淹 𦋦 辰 𢜝 咮 𢗼 㗂 沁,ê  ì ợ  ừ ế ă
拯 傷 兑 仍,ẳ ươ đá ữ
絲 𠃩 曲 如 紆,ơ í ú ư ò
𧊉 浪 沛 呐 𡮈,ướ ằ ả ó ỏ
固 如 𣷭 麻 𨃝 濃 溇,ó ư ể à ò ô â
襖 𥹰 拯 默 拱 艚,á â ẳ ặ ũ ầ
花 箕 買 特 牟 縁 庒,  ã đượ à ê ă
㐌 迻 緣 細 閣 藤,đã đư ê ớ á đằ
𪀄 群 想 𩙌 𥉫 𦝄 矧 徐, ò ưở ó ô ă ẩ ờ
當 干 渃,đươ ơ ướ
㯲 樔 待 别 包 𣉹 朱 冲,ấ à đợ ế  ờ  
悴 情 㤕 仍 𪨅 中,ú ì ó ữ ẻ 
牢 娘 於 准 林 穷 閉 吟, à ở ố â ù ấ â
𢝙 制 𡶀 花 林, ơ ú  â
客 塵 𠇍 几 别 尼 開 塘,á ầ ấ ẻ ế ơ  đườ
翁 窖 訴 詳,ô é ỏ ườ
麻 些 典 貝 娘 結 縁,à  đế ớ à ế ê
花 浪 别 准 林 泉, ằ ế ố â ề
清 台 趣 味 塵 緣 恪, ơ ú ị ầ ê á
𡗶 撑 𣱾 𣱾 𦝄 冲,ờ   ẻ ă 
俸 干 𩙌 同 同 細 尼,ổ ơ ó đù đù ớ ơ
幅 幀 埃 窖 撝,ứ   é ờ
㗂 𦝄 花 窖 𫃚 𠊚 如 空,ế ă  é ộ ườ ư ô
摱 芒 丐 㗂 𦟐 紅,ượ  á ế á ồ
𢚁 才 𢚁 色 英 雄 約 𬇚,ậ à ậ ắ  ù ướ 
𡨸 情 想 𢖵 别 包,ữ ì ưở ớ ế 
爫 沖 少 惱 渴 滈 𢚸 塵,à  ể ã á  ò ầ
𢖵 埃 群 固 欺 寅,ớ  ò ó  ầ
𢖵 情 别 𠇍 分 果 𢣧,ớ ì ế ấ ầ ả â
紅 買 曾,ồ ã ừ
妬 埃 愁 尼 朱 𦋦,đố  ầ à  
固 𣎀 𡎢 䏾 𦝄 斜,ó đê ồ ó ă à
𣋀 枚 侯 木 㗂 𪃿 噲,  ầ ọ ế à ọ
𤇊 𤇊 清,ầ ầ 
吏 添 猿 边,ạ ê ượ ê
𪟂 吒 丐 女 傾 城,é  á ợ  à
仍 㗂 默 名 𨕭 𠁀,ữ ế ắ  ê đờ
責 縁 𡲤 吏 恨 𠁀,á ê ả ạ ậ đờ
㗂 埃 窖 達 仍 𠳒 𧊉 螉,ế  é đặ ữ ờ ướ ô
滝 渃 沚 堆 𣳔,ô ướ ả đô ò
别 麻 𨃝 特 𢚸 朱 當,ế à ò đượ ò  đ
𧊉 浪 𧡊 呐 添 強,ướ ằ ấ ó ê à
想 𨉓 麻 吏 𢖵 傷 旦 𠊚,ưở ì à ạ ớ ươ đế ườ
紅 顔 易 𠇍 𨕭 𡗶,ồ  ễ ấ ê ờ
花 𦹳 曾 課 𠊚 𨔈 固 辰, ơ ừ ở ườ ơ ó ì
仍 調 𦝄 𩙌 計 之,ữ đề ă ó ể 
賖 𥸷 乙 拱 固 欺 吏 𧵆, ô ắ ũ ó  ạ ầ
玉 珠 𠸗 結 鄧 春,ọ â ư ế đặ â
紅 娘 吀 焒 吝 麻 𢧚,ồ ươ  ử ầ à ê
尾 之 堆 𡦂 情 縁,ẽ  đô ữ ì ê
𢱖 功 香 焒 添 煩 𢚸, ô ươ ử ê ề ò
𢪀 牢 朱 院 朱 𧷺,ĩ   ẹ  ò
矯 麻 𢢆 買 渃 𡽫 牢 停,ẻ à ẹ ấ ướ   đà
困 𫢩 㐌 願 貝 情,ố  đã ệ ớ ì
芇 埃 負 義 三 生 油 麻,à  ụ ĩ    à
決 𢚸 細 景 探 花,ế ò ớ ả ă 
庒 修 固 典 廛 𫅷 爫 之,ẳ  ó đế ề à à 
外 秦 晋 狹 之,à ầ ấ ẹ ì
芇 𢚸 廣 大 慈 悲 芇,à ò ả đạ ừ  à
船 漁 細 准 洞 桃,ề ư ớ ố độ đà
補 功 哏 咘 約 閉,õ ô ắ ó ướ ấ
花 浪 𩙌 動 霜 𠖤, ằ ó độ ươ 
㐌 𠇮 典 准 尼 朱 安,đã ì đế ố à  ê
俸 埃 窖 吹 𢧚,ỗ  é  ê
信 螉 使 蝶 吏 添 絆 𢚸,  ứ đệ ạ ê ậ ò
群 打 買 拯 冲,ò đá ã ẳ 
寔 𢝙 固 打 特 庄 咳 煩,ự  ó đá đượ ă ỡ ề
𧊉 浪 咳 客 婵 娟,ướ ằ ỡ á ề ê
㐌 冲 如 這 染 之 麻,đã  ư á ộ  à
𨀈 𠓨 𥪝 准 園 花,ướ à  ố ườ 
庒 𦹳 拱 𢲨 梗 制,ẳ ơ ũ á à ơ
䀡 浪 默 客 𨕭 𠁀, ằ ặ á ê đờ
底 停 芒 㗂 𦋦 𠊚 冬 迻,để đà  ế  ườ đ đư
決 如 妸 𢬣 𫅷,ế ư ả  à
採 𣋀 轉 特 呐 麻 潘,á  ể đượ ó à 
花 浪 䏾 月 漏 漏, ằ ó ệ ầ ầ
俸 埃 律 愁 如 空,ỗ  ú ầ ư ô
埃 监 吘 事 𢚸, á ỏ ự ò
雪 霜 停 冷 𣼰 𣎀 冬,ế ươ đà ạ ù đê đô
尾 之 幅 謹 封,ẽ  ứ ẩ 
𠸠 初 庒 可 朱 衝 默 𠊚,í ư ẳ á   ặ ườ
庒 𦖑 𦋦 拱 呢 𠳒,ẳ   ũ ể ờ
𡦂 縁 𢧚 妬 㗂 唭 在 埃,ữ ê ê đố ế ườ ạ 
𧊉 浪 催 渚 甚 𠳒,ướ ằ ô ớ ậ ờ
人 生 𢼂 於 𨕭 𠁀 終,â  ố ở ê đờ 
𠳨 制 群 大 𨔍 𨓡,ỏ ơ ò đạ ạ ù
𠬠 低 𠬠 帝 恪 𢚸 之 庒,ộ đâ ộ đấ á ò  ă
才 情 特 𠇍 妸 姮,à ì đượ ấ ả à
女 芇 底 客 𦝄 待 徐,ỡ à để á ă đợ ờ
𠰚 情 𢧚 沛 尽 辞,ể ì ê ả ậ ừ
秦 低 晋 帝 包 𣉹 朱 𢧚,ầ đâ ấ đấ  ờ  ê
悲 𣉹 滝 浪 渃 安,â ờ ô ằ ướ ê
巢 箕 㐌 𨔾 朱 船 𨖅 渚,à  đã ở  ề  ư
戾 欺 声 氣 弭 恒,ệ   í ẹ ằ
𦝄 箕 缺 怒 埃 扛 朱 𦋦,ă  ế ọ  ằ  
腰 𣘃 𢧚 沛 花,ê â ê ả 
為 情 𢧚 沛 𠓨 𦋦 買 情,ì ì ê ả à  ấ ì
潮 𨖲 㳥 渃 竜 冷,ề ê ó ướ  ạ
花 𦹳 嗷 𠯪 𦲿 撑 夷 夷, ơ à ạ á  ì ì
𠦳 𢆥 碑 𥒥 鑿 𥱬,ì ă  đá ạ 
仍 𠳒 𦝄 𩙌 折 之 燕,ữ ờ ă ó ế ì é
𠳒 誓 群 妬 停 停,ờ ề ò đó à à
油 埃 单 泊 虎 𨕭 堆,ù  đơ ạ ổ ê đô
花 浪 催 吏 𤑟 𤉜, ằ ô ạ õ à
㗂 窖 訴 𨕭 梗 固 花,ế é ỏ ê à ó 
㐌 修 固 𢪀 之 賖,đã  ó ĩ ì 
牢 麻 㗂 𦝄 花 此 情, à ế ă  ử ì
永 𦖑 边 梗,ẳ  ê à
𥉫 𫥨 柳 㐌 萌 拂 坡,ô  ễ đã à ấ ơ
焒 香 窖 𨤧 情 期,ử ươ é ẽ ì ỳ
䀡 厨 清 永 空 師 修 行, ù  ắ ô ư  à
於 低 岌 𡹞,ở đâ ậ ề
客 情 固 𬺗 船 情 尼 空,á ì ó ố ề ì à ô
咍 群 想 𢖵 𡽫 蓬, ò ưở ớ  ồ
樁 嘹 竹 化 紅 清 台,ô  ú á ồ  ơ
咍 㐌 願 固 尼, đã ệ ó ơ
船 只 待 徐 𠊚 情 鍾,ề ỉ đợ ờ ườ ì 
花 浪 芇 固 𨔍 𨓡, ằ à ó ạ ù
𢪀 浪 𢚸 㐌 别 𢚸 辰 催,ĩ ằ ò đã ế ò ì ô
埃 𪫢 吏 庒 信 𠳒, ờ ạ ẳ  ờ
塵 𠇍 几 别 𠊚 知 音,ầ ấ ẻ ế ườ  â
固 縁 如 果 味,ó ê ư ả ù
空 縁 如 𦑃 花 涞 𡧲 塘,ô ê ư á  ơ ữ đườ
意 浪 埃 拱 㗂 鍾,ấ ằ  ũ ế ô
渚 誇 才 色 捤 摓 爫 之,ớ  à ắ ẫ ù à 
𧊉 浪 惵 意 順 情,ướ ằ đẹ ý ậ ì
唒 肝 鉄 𥒥 拱 停 朱 衝,ẫ  ắ đá ũ đà  
𢧚 空 決 罕 停 空,ê ô ế ẳ đà ô
事 𠇮 麻 吏 柁 𢚸 𠳨 埃,ự ì à ạ đà ò ỏ 
花 浪 坦 𢌌 𡗶 高, ằ đấ ộ ờ 
風 情 固 少 之 尼 風 情, ì ó ế ì ơ  ì
㐌 浪 牢 固 修 行,đã ằ  ó  à
牢 麻 𠹾 庫 芒 經 旦 厨, à ị ó   đế ù
悴 情 仍 丐 蜉,ó ì ữ á ù
𠄼 更 刻 快 𣎀 秋 吏 𠫅,ă  ắ á đê  ạ ầ
𧊉 浪 呐 吏 朱,ướ ằ ó ạ 
鳳 凰 牢 塊 細 𣘃 𥟊 垌,ượ à  ỏ ớ â ô đồ
悲 𣉹 𢚸 㐌 别 𢚸,â ờ ò đã ế ò
固 如 𣅶 𨔍 𢚸 渚 悁,ó ư ú ạ ò ư 
吝 戈 䏾 桂 㙴,ầ  ó ế ề
𢪀 𠇮 想 客 鍾 𠊛 知 音,ĩ ì ưở á  ườ  â
惜 台 花 沛 葛 淋,ế   ả á ầ
𥋸 𦎛 司 馬 麻 𠰃 埃 喂,ô ươ ư ã à ồ  ơ
愁 辰 埃 强 爫,ầ ờ  ượ à
矯 欺 月 𠸍 花 唭 拯 咍,ẻ  ệ ỉ  ườ ẳ 
花 浪 悁 㗂 渃 尼, ằ  ế ướ à
事 情 𠬠 帝 𠬠 低 之,ự ì ộ đấ ộ đâ ì
𥉫 𠊛 𥪝 揊 樸,ô ườ  ứ á
女 才 價 意 當 辰 成 包,ữ à á ấ đá ì à 
債 𠊚 宮 禁 楼 高,á ườ  ấ â 
祸 𤊰 待 㤕 芇 女 催,ạ é đượ ú à ữ ô
